Book_No,Title,Sub_Title,Author,Translator,Class_3,Class_2,Class_1,Publisher,Year_1st_Pub,Year_This_Ed,Place,Edition_No,Pages,Keywords,ISBN,Language,Synopsis,Price,Notes,Title_XRef,Author_XRef,Medium,Size,Status,Check,Subject,
2268,Lotus Sutra In Chinese Art (The),A Study in Buddhist Art to the Year 1000,"Davidson, J. Leroy",,,DAV,Q4c0,Yale University Press,1954,1955,New Haven,2nd,105,painting sculpture architecture,,English,Study of Chinese Buddhist art using the White Lotus sutra as a focal point.,,,,,Book,,,,,
L2234,Buddhism in China,,Chinese Buddhist Assoc (ed),,,CBA,Q4c1,Nationalities Publishing House,1955,1955,Peking,1st,160,,,English,,8.5,,,,loose pages,,,,,
L2281,Art of the Chinese Sculptor (The),,"Munsterberg, Hugo",,OS,MUN,Q4c2,Charles E. Tuttle CO.,1960,1960,Rutland,1st,32,sculpture Kuan-yin Bodhisattva,,English,Detailed look at a small selection of decorative chinese sculptures.,,,,,Book,,,,,
4316,Chinese Steles,Pre-Buddhist and Buddhist use of a symbolic form,"Wong, Dorothy C.",,,WON,Q4c2,University of Hawai'i Press,2004,,Honolulu,1st,,,08248278x,,,,,,,Book,,,,,
L2271,Elite of Painting and Calligraphy Relating To Buddhism In Different Dynasties Of China (The),First Series,"Hsu, P.K.(Gen)",,OS,HSU,Q4c3,China Cosmos Publishing,,,Chung Ho,,120,Mahayana Taiwan Painting,,English/Chinese,Chineses Buddhist painting and calligraphy with a short section of photos about Buddhism in Taiwan,,,,,Book,,,,,
L2017,Chinese Arts & Calligraphy,,"Mor, Chuk (Dharma Master)",,OS,MOR,Q4c3,Buddhist Foo Yeun Lim Editorial,1985,1985,Singapore,,112,,9971-84-087-,English,,,,,,Book,,,,,
2058,Treatise on the Proportions for Buddhist Iconography (A),,Unknown,,,UNK,Q4c3,,,,,,,,,Chinese,,,,,,Book,,,,,
265,Study of Calligraphic Inscriptions (A),,Unknown,,,UNK,Q4c33,,,,,,,,,Chinese,,,,,,Book,,,,,
L2036,Poems By Dring Hsi Da Shih,,Dring Hsi Da Shih,,,DRI,Q4c7,,,,,,,,,Chinese,,,,,,Book,,,,,
3493,Clouds Should Know Me By Now (The),Buddhist poet monks of China,"Pine, Red & O'Connor, Mike (Ed)",,,PIN,Q4c7,Wisdom Publications,1990,1990,Boston,,210,Chine Poetry English Translation,861711432,,,,,,,Book,,11/03/2004,,,
648,Chinese Buddhist Verse,,"Robinson, Richard H.",Robinson - Richard,,ROB,Q4c7,John Murray,1954,1954,London,,85,,,English,,,,,,Book,,,,,
3492,Selected Poems Of Su Tung-P'O,,Su Tung-P'O,Watson - Burton,,SUT,Q4c7,Copper Canyon Press,1994,1994,Port Towns,,145,Translation from Chinese,1556590644,,,,,,,Book,,11/03/2004,,,
3616,Sleepless Nights,Verses for the wakeful,"Wen-Hsiang, Shih",Cleary - Thomas,,WEN,Q4c7,North Atlantic Books,1995,,Berkeley,,97,,1556432003,,,,,,,Book,,14/09/2004,,,
L3085,Taeung-Jon,Main Hall of Buddhist Temple,"Ghang Soon, Hyong",Han Ch'Ol-Mo,OS,GHA,Q4k1,Misulmunhwa,1995,1995,Seoul,1st,112,,8986353022,English&Korean,Colour photos of aspects of the main hall of Korean Temples,,,,,Book,30,13/07/1999,,Korean Art - Archite,
3068,Buddhist Painting In T'Ongdosa Monastery,,Unknown,,,UNK,Q4k31,Unknown,1988,1988,Korea,1st,230,,,Korean,Colour photos of paintings in Korean monastery. Small synopsis in English at the back.,,,,,Book,27,14/06/1999,,Buddhist Art - Korea,
4449,Beyond Self,Korean Zen Poems,Ko Un,Young Moo-Kim & Brother Antony,,KOU,Q4k7,Parallex Press,1997,,USA,,,,938077996,,,,,,,Book,,,,,
M4681,Eros and Cosmos in Mandala,The Mandalas of the two worlds at the Kyoo Gokoku-ji,"Ishimoto, Yasuhiro",,,ISH,Q5j,Seibu Museum of Art,1979,,Japan,,,,,,,,,,,Book,,,,,
L4674,Art of the Lotus Sutra (The),Japanese Masterpeices,"Kurata, Bunsaku & Tamura, Yoshiro (eds.)",Edna B. Crawford,OS,KUR,Q5j,Kosei Publishing,1987,,Tokyo,,,,4-33301096-9,,,,,,,Book,,,,,
3235,Kesa,The Elegance of Japanese Monks' Robes,"Till, Barry & Swart, Paula",,,TIL,Q5j,Art Gallery of Greater Victoria,1996,1996,Canada,1st,538,,904766934,English,,19.99,,,,Book,24,11/11/2002,,General Buddhism,
544,Zen Culture,How Zen has influenced Art Architecture Literature Sports Ceramics Theatre.,"Hoover, Thomas",,,HOO,Q5j0,Random House,1977,1977,New York,,262,History Haiku Poetry Culture,394410726,English,,8.95,,,,Book,,,,,
558,Zen Culture,How Zen has influenced Art Architecture Literature Sports Ceramics Theatre.,"Hoover, Thomas",,,HOO,Q5j0,Random House,1941,1977,New York,,262,History Haiku Poetry Culture,394410726,English,,3,,,,Book,,,,,
576,Zen Culture,How Zen has influenced Art Architecture Literature Sports Ceramics Theatre.,"Hoover, Thomas",,,HOO,Q5j0,Routledge and Kegan Paul Ltd,1977,1978,London,,262,History Haiku Poetry Culture,710089406,English,,3.75,,,,Book,,,,,
L1944,Art of Japanese Tantrism (The),,"Rambach, Pierre",,OS,RAM,Q5j0,Macmillan,1979,1979,London,,169,,0 333 265629,English,,,,,,Book,,,,,
2013,Art In Japanese Esoteric Buddhism,,"Sawa, Takaaki",Richard L. Gage,,SAW,Q5j0,WeaTherhill,1972,1972,New York,,151,,0-8348-1001-,English,Translated from Japanese,,,,,Book,,,,,
2015,Concise History of Japanese Art (A),,"Swann, Peter C.",,,SWA,Q5j0,Kodansha International Ltd,1979,1979,Tokyo,,332,,0-87011- 377,English,,,,,,Book,,,,,
1099,Kamakura,The Renaissance of Japanese Sculpture 1185-1333,"Harris, Victor & Matsushima, Ken",,,HAR,Q5j2,British Museum Press,1991,1991,London,,128,,714114510,English,Colour photographs,14.95,,,,Book,,,,,
L4682,Kamakura,The Renaissance of Japanese Sculpture 1185 - 1333,"Harris, Victor & Matsushima, Ken",,,HAR,Q5j2,British Museum Press,1991,,London,,,,714114510,,,,,,,Book,,,,,
L1914,Buddhist Sculptures,From mid-11th to the end of 12th Centuries,Kyoto National Museum,,,KNM,Q5j2,Kyoto National Museum,1991,1991,Kyoto,,182,,,Eng/Japanese,,,,,,Book,,,,,
Rep2016,Japanese Paintings,From Buddhist Shrines and Temples,"Rawson, Philip S.",,,RAW,Q5j2,Collins - UNESCO,1963,1963,,,17,,,English,,,,,,Book,,,,,
526,Zen in the Art of Flower Arrangement,,"Herrigel, Gustie L ",,,HER,Q5j3,Routledge & Kegan Paul Ltd,1958,1979,Surrey,,124,Illustrations Instruction Master,710079427,English,A psychological discipline as well as a training technique,0,,,,Book,,,,,
528,Zen in the Art of Flower Arrangement,0,"Herrigel, Gustie L ",,,HER,Q5j3,Routledge & Kegan Paul Ltd,1958,1960,Kent,,124,Illustrations Instruction Master,710079427,English,A psychological discipline as well as a training technique,0,,,,Book,,,,,
1891,Pure Land Buddhist Painting,,"Okazaki, Joji",Elizabeth Ten Grotenhuis,,OKA,Q5j3,Kodansha International Ltd,1969,1977,Tokyo,,201,,0-87011-287-,English,,,,,,Book,,,,,
4458,Japanese Mandalas,Representations of Sacred Geography,"Grotenhuis, Elizabeth ten",,,GRO,Q5j31,University of Hawaii Press,1999,,USA,,,,824820819,,,,,,,Book,,,,,
1677,Zenga,Malerei des Zen Buddhismus,"Hempel, Rose",,,HEM,Q5j31,R. Piper & Co. Verlag,1950,1950,Munchen,,64,,,German,,,,,,Book,,,,,
525,Zen Wave (A),Basho's Haiku & Zen,"Aitken, Robert",,,AIT,Q5j7,WeaTherhill,1978,1978,New York,1st,192,Basho's Life Poetry,83480137,English,Relationship between Zen and Haiku,4.95,,,,Book,,,,,
1751,Book of Angelus Silesius (The),With Observations by the Ancient Zen Masters,"Franck, Frederick (Trans. & Ed.)",,,FRA,Q5j7,Wildwood House Ltd,1976,1976,London,,,,0 7045 0200,English,The poetry of a 17th century German Christian mystic combined with sayings from Zen Buddhism,,,,,Book,,,,,
2885,Zen Poetry of Dogen (The),Verses from the Mountain of Eternal Peace,"Heine, Steven",,,HEI,Q5j7,Tuttle Publishing,1997,1997,Boston,1st,183,poetry literary criticism,0-8048-3107-,English,Literary criticism of Dogen's poetry,9.95,,,,Book,,,,,
3610,Haiku World,An international poetry almanac,"Higginson, William (Ed)",,,HIG,Q5j7,Kodansha,1996,,New York,,407,,4770020902,,,,,,,Book,,14/09/2004,,,
L3534,Spring of My Life (The),And Selected Haiku,"Issa, Kobayashi",Hamill - Sam,,ISS,Q5j7,Shambhala Publications,1997,,Boston,,180,,1570621446,,,,,,,Book,,11/04/2004,,,
3535,Future of Ice (A),Poems and stories of a Japanese Buddhist,Miyazawa Kenji,Hiroaki Sato,,MIY,Q5j7,North Point Press,1989,,Berkeley,,254,,865473730,,,,,,,Book,,11/04/2004,,,
559,Bone of Space,ZEN POEMS,"Sahn, Seung (Zen Master)",,,SAH,Q5j7,Four Seasons,1982,1982,London,,70,Poetry Haiku,877040532,English,,4.95,,,,Book,,,,,
1507,One Robe One Bowl,The Zen Poetry of Ryokan,"Stevens, John",,,STE,Q5j7,WeaTherhill,1977,1983,New York,,85,,0-8348-0126-,English,,,,,,Book,,,,,
1587,Penguin Book of Zen Poetry (The),,"Stryk, L. & Ikemoto, T (Ed & Trans)",,,STR,Q5j7,Penguin Books,1977,1985,Middlesex,,160,poetry haiku,0 14 042247,English,,,,,,Book,,,,,
M3537,Poems of a Mountain Home,,,Burton Watson,,,Q5j7,Columbia University Press,,1991,New York,1st,240,,0-231-07493-x,English,,,,,,,,,,,
506,Zen in the Art of Archery,,"Herrigel, Eugen",R.F.C. Hull.,,HER,Q5j9,Routledge & Kegan Paul,1956,1979,London,8th,107,,0-7100-7483-,English,Translated from German.,0,,,,Book,,,,,
531,Zen in the Art of Archery,,"Herrigel, Eugen",Hull - R.C.F,,HER,Q5j9,Routledge & Kegan Paul,1953,1959,London,3rd,107,Training the mind,,English,,0,,,,Book,,,,,
518,Zen and Confucius in the Art of Swordsmanship,The Tengu-geijutsu-ron of Chozan Shissai,"Kammer, Reinhard",Fitzgerald - Betty J.,,KAM,Q5j9,Routledge & Kegan Paul,1978,1978,London,,118,Zen Kendo,710087373,English,Book on Swordsmanship,3.95,,Tengu-geijutsu-ron,,Book,,,,,
1848,Book of Tea (The),,"Okakura, Kakuzo",,,OKA,Q5j9,Kenkyusha,,,Tokyo,,117,taoism,,English,Tea in the Zen and Taoist traditions,,,,,Book,,,,,
600,Zen and Japanese Culture,,"Suzuki, Daisetz Teitaro",,,SUZ,Q5j9,Princeton University Press,1970,1973,Princeton,,478,,0-691-01770-,English,,,,,,Book,,,,,
